#Parameters = {L=14.76212419082; Lstrip=14.805091994955; Lsus=35; W=15.46391753; Wstrip=1.65; Wsus=30.927835051546; a=0; d=30.927835051546; e=0.035; epsilonefe=3.505358317; g=1.1715; h=1.58; lambda=61.855670103093; lambdaparche=33.03796639; r_x0=240.2578583; x0=4.6861540903649}
#"Frequency / GHz"	"S1,1 [Magnitude]"
#------------------------------------
4.7456002235413	-16.801969517336
4.7465000152588	-16.780032767923
4.7473998069763	-16.758132834006
4.7483000755310	-16.736285044968
4.7491998672485	-16.714500866284
4.7501001358032	-16.692793136127
4.7509999275208	-16.671173797834
4.7519001960754	-16.649654020044
4.7527999877930	-16.628246520539
4.7536997795105	-16.606962090073
4.7546000480652	-16.585810487040
4.7554998397827	-16.564802134393
4.7564001083374	-16.543948447930
4.7572999000549	-16.523258187869
4.7582001686096	-16.502740663805
4.7590999603271	-16.482405208003
4.7600002288818	-16.462261769640
4.7609000205994	-16.442317919291
4.7617998123169	-16.422580381664
4.7627000808716	-16.403060633130
4.7635998725891	-16.383764061375
4.7645001411438	-16.364700790362
4.7653999328613	-16.345876063954
4.7663002014160	-16.327296578797
4.7671999931335	-16.308969720714
4.7680997848511	-16.290902093164
4.7690000534058	-16.273100987187
4.7698998451233	-16.255571704070
4.7708001136780	-16.238322202737
4.7716999053955	-16.221353358072
4.7726001739502	-16.204676727220
4.7734999656677	-16.188292982045
4.7744002342224	-16.172211225362
4.7753000259399	-16.156432282307
4.7761998176575	-16.140965789525
4.7771000862122	-16.125812441574
4.7779998779297	-16.110977732571
4.7789001464844	-16.096468847970
4.7797999382019	-16.082286756770
4.7807002067566	-16.068438137349
4.7815999984741	-16.054922863544
4.7824997901917	-16.041749949992
4.7834000587463	-16.028919040099
4.7842998504639	-16.016437911684
4.7852001190186	-16.004305468015
4.7860999107361	-15.992527790643
4.7870001792908	-15.981107198071
4.7878999710083	-15.970047402948
4.7887997627258	-15.959350936708
4.7897000312805	-15.949020647101
4.7905998229980	-15.939061163670
4.7915000915527	-15.929471284936
4.7923998832703	-15.920258173893
4.7933001518250	-15.911421318177
4.7941999435425	-15.902964968101
4.7951002120972	-15.894890828083
4.7960000038147	-15.887201125390
4.7968997955322	-15.879898838486
4.7978000640869	-15.872985375018
4.7986998558044	-15.866462949692
4.7996001243591	-15.860335101757
4.8004999160767	-15.854600688146
4.8014001846313	-15.849265474305
4.8022999763489	-15.844328593960
4.8031997680664	-15.839792574136
4.8041000366211	-15.835659286244
4.8049998283386	-15.831931221320
4.8059000968933	-15.828609112723
4.8067998886108	-15.825695900541
4.8077001571655	-15.823191745990
4.8085999488831	-15.821098770809
4.8095002174377	-15.819417374111
4.8104000091553	-15.818152350191
4.8112998008728	-15.817302010982
4.8122000694275	-15.816868761199
4.8130998611450	-15.816853359129
4.8140001296997	-15.817258314325
