#Parameters = {L_parche_inf=15.28; L_parche_sup=14.98; Long_linea=17.19; W_linea=1.5; W_parche_inf=21.62; W_parche_sup=21.62; alpha=-21.96324717241; distancia_entre_parches=44.68085106383; h_0=4.335; h_cobre=0.035; h_sus=1.58; lambda_0=63.829787234042}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
4.2680001258850	-17.241075918149
4.2709999084473	-17.331980606711
4.2740001678467	-17.422783456437
4.2769999504089	-17.513391535667
4.2800002098083	-17.603697841889
4.2829999923706	-17.693599883355
4.2859997749329	-17.782991499332
4.2890000343323	-17.871766126728
4.2919998168945	-17.959822028111
4.2950000762939	-18.047062856894
4.2979998588562	-18.133398238207
4.3010001182556	-18.218746355078
4.3039999008179	-18.303042564667
4.3070001602173	-18.386230552765
4.3099999427795	-18.468273907560
4.3130002021790	-18.549150479215
4.3159999847412	-18.628862211798
4.3189997673035	-18.707427977088
4.3220000267029	-18.784886274984
4.3249998092651	-18.861301975565
4.3280000686646	-18.936756702963
4.3309998512268	-19.011356972723
4.3340001106262	-19.085225295495
4.3369998931885	-19.158506029642
4.3400001525879	-19.231359293068
4.3429999351501	-19.303959515261
4.3460001945496	-19.376497778676
4.3489999771118	-19.449171871225
4.3520002365112	-19.522190928686
4.3550000190735	-19.595770529153
4.3579998016357	-19.670126246764
4.3610000610352	-19.745478300378
4.3639998435974	-19.822041953966
4.3670001029968	-19.900033074778
4.3699998855591	-19.979655126785
4.3730001449585	-20.061108589729
4.3759999275208	-20.144581498969
4.3790001869202	-20.230251082771
4.3819999694824	-20.318281353979
4.3850002288818	-20.408822491241
4.3880000114441	-20.502005572600
4.3909997940063	-20.597950494258
4.3940000534058	-20.696754255558
4.3969998359680	-20.798498921048
4.4000000953674	-20.903251182493
4.4029998779297	-21.011051201875
4.4060001373291	-21.121930508691
4.4089999198914	-21.235893819546
4.4120001792908	-21.352933205678
4.4149999618530	-21.473020792253
4.4180002212524	-21.596108537709
4.4210000038147	-21.722135690356
4.4239997863770	-21.851022928204
4.4270000457764	-21.982675183079
4.4299998283386	-22.116979506193
4.4330000877380	-22.253815158782
4.4359998703003	-22.393040602340
4.4390001296997	-22.534508654600
4.4419999122620	-22.678053025026
4.4450001716614	-22.823502982816
4.4479999542236	-22.970672093455
4.4510002136230	-23.119367474097
4.4539999961853	-23.269388757710
4.4569997787476	-23.420522163769
4.4600000381470	-23.572550417296
4.4629998207092	-23.725247042259
4.4660000801086	-23.878376198276
4.4689998626709	-24.031695597345
4.4720001220703	-24.184953909477
4.4749999046326	-24.337891845704
4.4780001640320	-24.490238137676
4.4809999465942	-24.641710777978
4.4840002059937	-24.792018312794
4.4869999885559	-24.940850387125
4.4899997711182	-25.087888145825
4.4930000305176	-25.232791571906
4.4959998130798	-25.375204303240
4.4990000724792	-25.514754464772
4.5019998550415	-25.651045621778
4.5050001144409	-25.783669148327
4.5079998970032	-25.912191226122
4.5110001564026	-26.036165693491
4.5139999389648	-26.155128583392
4.5170001983643	-26.268604421343
4.5199999809265	-26.376111228010
4.5229997634888	-26.477163439875
4.5260000228882	-26.571279240972
4.5289998054504	-26.657990650131
4.5320000648499	-26.736843950347
4.5349998474121	-26.807420322848
4.5380001068115	-26.869330189711
4.5409998893738	-26.922234890688
4.5440001487732	-26.965850231311
4.5469999313354	-26.999949379147
4.5500001907349	-27.024377088695
4.5529999732971	-27.039051105249
4.5560002326965	-27.043961102801
4.5590000152588	-27.039173397029
4.5619997978210	-27.024831770526
4.5650000572205	-27.001147254359
4.5679998397827	-26.968399394719
4.5710000991821	-26.926923731586
4.5739998817444	-26.877108449743
4.5770001411438	-26.819385054577
4.5799999237061	-26.754215098736
4.5830001831055	-26.682083101557
4.5859999656677	-26.603490256996
4.5890002250671	-26.518939933426
4.5920000076294	-26.428936551410
4.5949997901917	-26.333975277802
4.5980000495911	-26.234535577297
4.6009998321533	-26.131078827985
4.6040000915527	-26.024045951084
4.6069998741150	-25.913854642177
4.6100001335144	-25.800894513216
4.6129999160767	-25.685531480606
4.6160001754761	-25.568107750751
4.6189999580383	-25.448936844090
4.6220002174377	-25.328313800976
4.6250000000000	-25.206510929300
4.6279997825623	-25.083779704699
4.6310000419617	-24.960355834515
4.6339998245239	-24.836457056401
4.6370000839233	-24.712291371904
4.6399998664856	-24.588051908459
4.6430001258850	-24.463923639472
4.6459999084473	-24.340081673847
4.6490001678467	-24.216695309456
4.6519999504089	-24.093926079832
4.6550002098083	-23.971931665274
4.6579999923706	-23.850862381889
4.6609997749329	-23.730866775020
4.6640000343323	-23.612085991556
4.6669998168945	-23.494659982990
4.6700000762939	-23.378720522535
4.6729998588562	-23.264396263424
4.6760001182556	-23.151809084000
4.6789999008179	-23.041076391383
4.6820001602173	-22.932305467668
4.6849999427795	-22.825601230642
4.6880002021790	-22.721053164329
4.6909999847412	-22.618748309103
4.6939997673035	-22.518762907671
4.6970000267029	-22.421160683944
4.6999998092651	-22.325997774133
4.7030000686646	-22.233316692215
4.7059998512268	-22.143153476243
4.7090001106262	-22.055525186854
