#Parameters = {L_parche_inf=15.28; L_parche_sup=14.98; Long_linea=17.19; W_linea=1.5; W_parche_inf=21.62; W_parche_sup=21.62; alpha=-21.96324717241; distancia_entre_parches=44.68085106383; h_0=4.335; h_cobre=0.035; h_sus=1.58; lambda_0=63.829787234042}
#"Theta / deg"	"farfield (f=4.7) [1]_1 [Magnitude / dBi]"
#--------------------------------------------------------
2.0000000000000	-15.319467780096
3.0000000000000	-14.602494529327
4.0000000000000	-14.020683880665
5.0000000000000	-13.559052502370
6.0000000000000	-13.204917485616
7.0000000000000	-12.946859236080
8.0000000000000	-12.773757114959
9.0000000000000	-12.674350265665
10.000000000000	-12.634583133422
11.000000000000	-12.639147731963
12.000000000000	-12.669374362293
13.000000000000	-12.703540988307
14.000000000000	-12.717806034446
15.000000000000	-12.688486317640
16.000000000000	-12.595581568774
17.000000000000	-12.426881889143
18.000000000000	-12.179876719384
19.000000000000	-11.862764138314
20.000000000000	-11.491575415413
21.000000000000	-11.086348260556
22.000000000000	-10.667407721063
23.000000000000	-10.252812621892
24.000000000000	-9.8571475233200
25.000000000000	-9.4914559155863
26.000000000000	-9.1631064567097
27.000000000000	-8.8771374219610
28.000000000000	-8.6363282056686
29.000000000000	-8.4418332556442
30.000000000000	-8.2935690363434
31.000000000000	-8.1904913911095
32.000000000000	-8.1307812493312
33.000000000000	-8.1119590824028
34.000000000000	-8.1309474079724
35.000000000000	-8.1841839293984
36.000000000000	-8.2672593573824
37.000000000000	-8.3755445389091
38.000000000000	-8.5037618330010
39.000000000000	-8.6461795592130
40.000000000000	-8.7967322219225
41.000000000000	-8.9492097059105
42.000000000000	-9.0975193904023
43.000000000000	-9.2360095069205
44.000000000000	-9.3598227530111
45.000000000000	-9.4653092562745
46.000000000000	-9.5499704730386
47.000000000000	-9.6130824751881
48.000000000000	-9.6553313078742
49.000000000000	-9.6787330426569
50.000000000000	-9.6863471876648
51.000000000000	-9.6819292414770
52.000000000000	-9.6695791634471
53.000000000000	-9.6534311296417
54.000000000000	-9.6374114262881
55.000000000000	-9.6250728519705
56.000000000000	-9.6195001626023
57.000000000000	-9.6232733373027
58.000000000000	-9.6384523719848
59.000000000000	-9.6667128427330
60.000000000000	-9.7092072507507
61.000000000000	-9.7667680394722
62.000000000000	-9.8399185575587
63.000000000000	-9.9289252618665
64.000000000000	-10.033844953511
65.000000000000	-10.154566280186
66.000000000000	-10.290845449096
67.000000000000	-10.442336497788
68.000000000000	-10.608616665438
69.000000000000	-10.789207470222
70.000000000000	-10.983592082458
71.000000000000	-11.191229523213
72.000000000000	-11.411566136153
73.000000000000	-11.644044689500
74.000000000000	-11.888111371810
75.000000000000	-12.143220853055
76.000000000000	-12.408839491407
